A.Parc.;Parc;n;DAP ;Ht;Hdom
720;343;25;18,46;14,15;
720;343;26;17,98;13,95;
720;343;27;18,46;14,15;
720;343;28;16,55;13,35;
720;343;29;18,14;14,02;
720;343;30;;;
720;343;31;20,05;14,78;
720;343;32;;;
720;343;33;16,55;13,35;
720;343;34;;;
720;343;35;15,60;12,94;
720;343;36;17,98;13,95;
720;343;37;;;
720;343;38;15,76;13,01;
720;343;39;;;
720;343;40;18,14;14,02;
720;343;41;17,83;13,89;
720;343;42;;;
720;343;43;18,46;14,15;
720;343;44;17,67;13,82;
720;343;45;17,51;13,76;
720;343;46;19,26;14,47;
720;343;47;15,92;13,08;
720;343;48;17,03;13,56;
720;343;49;19,26;14,47;
720;343;50;16,07;13,15;
720;343;51;8,75;9,54;
720;343;52;16,87;13,49;
720;343;53;;;
720;343;54;17,35;13,69;
720;343;55;15,12;12,73;
720;343;56;;;
720;343;57;12,10;11,32;
720;343;58;17,03;13,56;
720;343;59;;;
720;343;60;15,28;12,80;
720;344;1;;;
720;344;2;15,92;13,08;
720;344;3;17,19;13,62;
720;344;4;16,55;13,35;
720;344;5;;;
720;344;6;16,87;13,49;
720;344;7;16,55;13,35;
720;344;8;;;
720;344;9;17,03;13,56;
720;344;10;;;
720;344;11;18,14;14,02;
720;344;12;16,87;13,49;
720;344;13;18,14;14,02;
720;344;14;;;
720;344;15;18,78;14,28;
720;344;16;17,03;13,56;
720;344;17;19,42;14,53;
720;344;18;;;
720;344;19;;;
720;344;20;;;
720;344;21;16,71;13,42;
720;344;22;20,21;14,84;
720;344;23;;;
720;344;24;18,46;14,15;
720;344;25;19,58;14,59;
720;344;26;18,14;14,02;
720;344;27;;;
720;344;28;19,26;14,47;
720;344;29;20,69;15,03;
720;344;30;;;
720;344;31;19,10;14,40;
720;344;32;21,17;15,21;
720;344;33;;;
720;344;34;19,89;14,72;
720;344;35;18,94;14,34;
720;344;36;;;
720;344;37;16,39;13,29;
720;344;38;19,58;14,59;
720;344;39;;;
720;344;40;19,10;14,40;
720;344;41;19,89;14,72;
720;344;42;20,21;14,84;
720;344;43;;;
720;344;44;19,58;14,59;
720;344;45;16,87;13,49;
720;344;46;20,85;15,09;
720;344;47;;;
720;344;48;18,30;14,08;
720;344;49;20,69;15,03;
720;344;50;;;
720;344;51;20,37;14,90;
720;344;52;20,69;15,03;
720;344;53;;;
720;344;54;14,48;12,45;
720;344;55;19,74;14,65;
720;344;56;17,83;13,89;
720;344;57;;;
720;344;58;21,01;15,15;
720;344;59;18,46;14,15;
720;344;60;;;
720;451;1;14,32;12,37;
720;451;2;17,51;13,76;
720;451;3;17,19;13,62;
720;451;4;18,30;14,08;
720;451;5;;;
720;451;6;18,46;14,15;
720;451;7;;;
720;451;8;17,83;13,89;
720;451;9;17,19;13,62;
720;451;10;;;
720;451;11;19,74;14,65;
720;451;12;;;
720;451;13;19,10;14,40;
720;451;14;16,23;13,22;
720;451;15;16,07;13,15;
720;451;16;17,44;13,73;
720;451;17;;;
720;451;18;19,10;14,40;
720;451;19;;;
720;451;20;14,10;12,27;
720;451;21;;;
720;451;22;18,30;14,08;
720;451;23;14,96;12,66;
720;451;24;16,65;13,40;
720;451;25;18,40;14,12;
720;451;26;;;
720;451;27;17,67;13,82;
720;451;28;;;
720;451;29;19,42;14,53;
720;451;30;17,35;13,69;
720;451;31;19,00;14,37;
720;451;32;19,54;14,58;
720;451;33;;;
720;451;34;18,84;14,30;
720;451;35;17,70;13,84;
720;451;36;;;
720;451;37;18,78;14,28;
720;451;38;;;
720;451;39;18,14;14,02;
720;451;40;18,14;14,02;
720;451;41;;;
720;451;42;17,98;13,95;
720;451;43;16,62;13,38;
720;451;44;17,86;13,90;
720;451;45;13,75;12,11;
720;451;46;17,25;13,65;
720;451;47;18,05;13,98;
720;451;48;18,30;14,08;
720;451;49;;;
720;451;50;15,92;13,08;
720;451;51;18,72;14,25;
720;451;52;18,62;14,21;
720;451;53;15,76;13,01;
720;451;54;;;
720;451;55;18,53;14,17;
720;451;56;17,03;13,56;
720;451;57;;;
720;451;58;19,61;14,60;
720;451;59;17,83;13,89;
720;451;60;19,35;14,50;
720;452;1;18,30;14,08;
720;452;2;17,19;13,62;
720;452;3;;;
720;452;4;17,19;13,62;
720;452;5;19,16;14,43;
720;452;6;19,42;14,53;
720;452;7;18,78;14,28;
720;452;8;;;
720;452;9;19,10;14,40;
720;452;10;15,92;13,08;
720;452;11;17,83;13,89;
720;452;12;;;
720;452;13;16,23;13,22;
720;452;14;18,62;14,21;
720;452;15;18,62;14,21;
720;452;16;16,87;13,49;
720;452;17;;;
720;452;18;17,35;13,69;
720;452;19;18,27;14,07;
720;452;20;;;
720;452;21;19,83;14,69;
720;452;22;;;
720;452;23;17,60;13,80;
720;452;24;18,46;14,15;
720;452;25;17,25;13,65;
720;452;26;;;
720;452;27;17,51;13,76;
